year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e,emission_rate_per_unit,production_toe_MTOE,emission_rate_per_toe,Country,Kyoto_start,Kyoto_end,Paris_start,Cluster
1971,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,72.9927,Bcf/yr,5.320466397,0.07289039,1.73722626,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1972,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,37.96,Million bbl/yr,15.13760897,0.398777897,5.16256,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1972,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,79.6284,Bcf/yr,5.80414516,0.07289039,1.89515592,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1973,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,117.7125,Million bbl/yr,46.94114319,0.398777897,16.0089,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1973,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.093955195,0.07289039,2.31630168,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1974,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,302.1105,Million bbl/yr,120.4749898,0.398777897,41.087028,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1974,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.093955195,0.07289039,2.31630168,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1975,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,300.6213,Million bbl/yr,119.8811298,0.398777897,40.8844968,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1975,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,85.89545,Bcf/yr,6.260952881,0.07289039,2.04431171,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1976,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,347.3997,Million bbl/yr,138.5353217,0.398777897,47.2463592,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1976,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.76598,Bcf/yr,7.126200446,0.07289039,2.326830324,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1977,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,361.7223,Million bbl/yr,144.246858,0.398777897,49.1942328,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1977,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,145.124,Bcf/yr,10.57814501,0.07289039,3.4539512,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1978,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,316.7397,Million bbl/yr,126.3087914,0.398777897,43.0765992,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1978,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,190.968,Bcf/yr,13.91973207,0.07289039,4.5450384,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1979,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,322.9155,Million bbl/yr,128.771564,0.398777897,43.916508,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1979,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,202.0494,Bcf/yr,14.72745964,0.07289039,4.80877572,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1980,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,294.1827,Million bbl/yr,117.3135584,0.398777897,40.0088472,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1980,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,254.2225,Bcf/yr,18.53037726,0.07289039,6.0504955,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1981,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,248.127,Million bbl/yr,98.94756322,0.398777897,33.745272,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1981,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,312.732,Bcf/yr,22.79515756,0.07289039,7.4430216,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1982,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,199.728,Million bbl/yr,79.64711179,0.398777897,27.163008,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1982,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,329.29935,Bcf/yr,24.00275817,0.07289039,7.83732453,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1983,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,185.712,Million bbl/yr,74.05784078,0.398777897,25.256832,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1983,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,310.9508,Bcf/yr,22.6653252,0.07289039,7.40062904,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1984,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,179.58,Million bbl/yr,71.61253472,0.398777897,24.42288,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1984,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,355.2764,Bcf/yr,25.89623548,0.07289039,8.45557832,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1985,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,173.886,Million bbl/yr,69.34189338,0.398777897,23.648496,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1985,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,385.586,Bcf/yr,28.10551406,0.07289039,9.1769468,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1986,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,284.643,Million bbl/yr,113.5093369,0.398777897,38.711448,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1986,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,397.3098,Bcf/yr,28.96006642,0.07289039,9.45597324,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1987,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,395.4,Million bbl/yr,157.6767804,0.398777897,53.7744,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1987,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,408.6978,Bcf/yr,29.79014218,0.07289039,9.72700764,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1988,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,378.6,Million bbl/yr,150.9773118,0.398777897,51.4896,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1988,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,419.75,Bcf/yr,30.59574135,0.07289039,9.99005,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1989,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,536.6,Million bbl/yr,213.9842195,0.398777897,72.9776,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1989,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,461.506,Bcf/yr,33.63935249,0.07289039,10.9838428,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1990,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,595.7,Million bbl/yr,237.5519932,0.398777897,81.0152,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1990,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,487.8882,Bcf/yr,35.56236135,0.07289039,11.61173916,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1991,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,722.7,Million bbl/yr,288.1967861,0.398777897,98.2872,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1991,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,554.65254,Bcf/yr,40.42884016,0.07289039,13.20073045,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1992,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,672.3,Million bbl/yr,268.0983801,0.398777897,91.4328,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1992,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,586.6791,Bcf/yr,42.76326862,0.07289039,13.96296258,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1993,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,654.1,Million bbl/yr,260.8406223,0.398777897,88.9576,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1993,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,599.17451,Bcf/yr,43.67406393,0.07289039,14.26035334,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1994,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,678.2,Million bbl/yr,270.4511697,0.398777897,92.2352,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1994,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,696.5514,Bcf/yr,50.77190345,0.07289039,16.57792332,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1995,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,683.6,Million bbl/yr,272.6045703,0.398777897,92.9696,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1995,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,621.3687,Bcf/yr,45.2918071,0.07289039,14.78857506,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1996,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.8,Million bbl/yr,268.6965469,0.398777897,91.6368,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1996,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,666.9343695,Bcf/yr,48.61310654,0.07289039,15.87303799,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1997,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,708.1,Million bbl/yr,282.3746288,0.398777897,96.3016,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1997,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,712.6814205,Bcf/yr,51.94762694,0.07289039,16.96181781,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1998,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,748.3,Million bbl/yr,298.4055002,0.398777897,101.7688,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1998,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,861.6736398,Bcf/yr,62.80772797,0.07289039,20.50783263,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1999,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.4,Million bbl/yr,268.5370358,0.398777897,91.5824,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1999,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1023.4287,Bcf/yr,74.59811745,0.07289039,24.35760306,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2000,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,695.4,Million bbl/yr,277.3101495,0.398777897,94.5744,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2000,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1031.83367,Bcf/yr,75.21075899,0.07289039,24.55764135,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2001,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,669.8,Million bbl/yr,267.1014353,0.398777897,91.0928,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2001,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1081.027465,Bcf/yr,78.79651392,0.07289039,25.72845367,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2002,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,616.9,Million bbl/yr,246.0060846,0.398777897,83.8984,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2002,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1190.53928,Bcf/yr,86.77887286,0.07289039,28.33483486,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2003,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,675.3,Million bbl/yr,269.2947138,0.398777897,91.8408,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2003,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1228.856055,Bcf/yr,89.57179755,0.07289039,29.24677411,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2004,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,713.6,Million bbl/yr,284.5679072,0.398777897,97.0496,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2004,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1269.64488,Bcf/yr,92.54491092,0.07289039,30.21754814,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2005,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,839.5,Million bbl/yr,334.7740444,0.398777897,114.172,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2005,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1279.53308,Bcf/yr,93.26566568,0.07289039,30.4528873,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2006,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,894.3,Million bbl/yr,356.6270732,0.398777897,121.6248,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2006,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1341.33433,Bcf/yr,97.77038292,0.07289039,31.92375705,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2007,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,846.8,Million bbl/yr,337.6851231,0.398777897,115.1648,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2007,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1396.21384,Bcf/yr,101.7705718,0.07289039,33.22988939,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2008,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,888.8,Million bbl/yr,354.4337947,0.398777897,120.8768,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2008,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1382.86477,Bcf/yr,100.7975529,0.07289039,32.91218153,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2009,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,779.3,Million bbl/yr,310.767615,0.398777897,105.9848,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2009,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1305.217683,Bcf/yr,95.13782642,0.07289039,31.06418086,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2010,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,789.1,Million bbl/yr,314.6756384,0.398777897,107.3176,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2010,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1394.2362,Bcf/yr,101.6264209,0.07289039,33.18282156,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2011,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,913.191,Million bbl/yr,364.1603864,0.398777897,124.193976,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2011,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1618.077754,Bcf/yr,117.9423191,0.07289039,38.51025055,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2012,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,948.2,Million bbl/yr,378.1212018,0.398777897,128.9552,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2012,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1959.136813,Bcf/yr,142.8022471,0.07289039,46.62745615,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2013,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,996.928,Million bbl/yr,397.5528512,0.398777897,135.582208,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2013,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1934.149146,Bcf/yr,140.9808863,0.07289039,46.03274967,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2014,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1002.179,Million bbl/yr,399.6468339,0.398777897,136.296344,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2014,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1964.320589,Bcf/yr,143.1800945,0.07289039,46.75083002,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2015,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1068.575,Million bbl/yr,426.1240912,0.398777897,145.3262,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2015,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1918.427996,Bcf/yr,139.8349655,0.07289039,45.6585863,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2016,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1095.0,Million bbl/yr,436.6617971,0.398777897,148.92,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2016,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1965.869177,Bcf/yr,143.2929717,0.07289039,46.78768641,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2017,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1186.25,Million bbl/yr,473.0502802,0.398777897,161.33,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2017,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2129.691609,Bcf/yr,155.2340527,0.07289039,50.68666029,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2018,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.4387633,0.398777897,173.74,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2018,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2510.134941,Bcf/yr,182.9647157,0.07289039,59.7412116,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2019,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1350.5,Million bbl/yr,538.5495497,0.398777897,183.668,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2019,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2612.589429,Bcf/yr,190.4326633,0.07289039,62.17962841,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2020,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.4387633,0.398777897,173.74,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2020,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.033624,0.07289039,64.008441,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2021,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.4387633,0.398777897,173.74,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2021,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.033624,0.07289039,64.008441,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2022,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.4387633,0.398777897,173.74,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
2022,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.033624,0.07289039,64.008441,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
2012,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.0,Million tonnes/yr,8.076361774,2.019090444,2.2,3.671073534,India,2008.0,2020.0,2016.0,6
2013,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.09,Million tonnes/yr,8.258079914,2.019090444,2.2495,3.671073534,India,2008.0,2020.0,2016.0,6
2014,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,7.92,Million tonnes/yr,15.99119631,2.019090444,4.356,3.671073534,India,2008.0,2020.0,2016.0,6
2015,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,10.36,Million tonnes/yr,20.917777,2.019090444,5.698,3.671073534,India,2008.0,2020.0,2016.0,6
2016,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.45,Million tonnes/yr,23.11858558,2.019090444,6.2975,3.671073534,India,2008.0,2020.0,2016.0,6
2017,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.15,Million tonnes/yr,22.51285845,2.019090444,6.1325,3.671073534,India,2008.0,2020.0,2016.0,6
2018,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,16.9,Million tonnes/yr,34.1226285,2.019090444,9.295,3.671073534,India,2008.0,2020.0,2016.0,6
2019,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,13.261,Million tonnes/yr,26.77515837,2.019090444,7.29355,3.671073534,India,2008.0,2020.0,2016.0,6
2020,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,15.72,Million tonnes/yr,31.74010177,2.019090444,8.646,3.671073534,India,2008.0,2020.0,2016.0,6
2021,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,26.78,Million tonnes/yr,54.07124208,2.019090444,14.729,3.671073534,India,2008.0,2020.0,2016.0,6
2022,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,34.9,Million tonnes/yr,70.46625648,2.019090444,19.195,3.671073534,India,2008.0,2020.0,2016.0,6
1992,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.0,Million tonnes/yr,2.019090444,2.019090444,0.55,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
1993,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.4,Million tonnes/yr,2.826726621,2.019090444,0.77,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
1994,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,2.4,Million tonnes/yr,4.845817065,2.019090444,1.32,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
1995,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,5.5,Million tonnes/yr,11.10499744,2.019090444,3.025,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
1996,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,8.6,Million tonnes/yr,17.36417782,2.019090444,4.73,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
1997,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,9.4,Million tonnes/yr,18.97945017,2.019090444,5.17,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
1998,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,10.9,Million tonnes/yr,22.00808584,2.019090444,5.995,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
1999,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,13.6,Million tonnes/yr,27.45963003,2.019090444,7.48,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
2000,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,15.5,Million tonnes/yr,31.29590188,2.019090444,8.525,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
2001,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,17.7,Million tonnes/yr,35.73790085,2.019090444,9.735,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
2002,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,20.8,Million tonnes/yr,41.99708123,2.019090444,11.44,3.671073534,Indonesia,2008.0,2020.0,2016.0,6
